concept_id,concept_name
C0004903,Beckwith-Wiedemann syndrome
C0198482,Abdominal operation
C0007859,Cervical pain
C0700225,Serum creatinine increased
C0039101,Synovial sarcoma
C1504464,Endoleak
C2713543,Neurofeedback therapy
C0340643,"Dissecting aortic aneurysm, unspecified site"
C0153446,"Malignant neoplasm of anus, unspecified"
C0007859,Cervicalgia
C0040071,Thymectomy
C0234708,Raised IOP
C0424134,Pessimism
C0006849,Candida of mouth
C1261361,Amino acid supplementation
C3671887,Hypernatriuria
C0019004,Haemodialysis
C0949690,Spondylarthritis
C0007859,Pain neck
C0037317,Sleep disturbances (incl subtypes)
C0018213,Goitre exophthalmic
C0008928,Cleidocranial dysostosis
C0015695,Fatty liver
C3671887,Sodium urine high
C0521542,Brain stem infarction
C0268381,Primary amyloidosis
C0008928,Cleidocranial dysplasia
C0001883,Airway obstruction NOS
C0080203,Tachyarrhythmia
C1761613,Conjunctival hyperaemia
C0037317,Sleep disturbed
C0429087,Electrocardiogram PR interval
C0581883,Complete hearing loss
C0009691,Congenital cataract
C2748218,Human immunodeficiency virus test positive
C1761613,Conjunctival redness
C0006849,Thrush NOS
C0521974,High fat diet
C0742906,C-reactive protein result high
C0877589,Interleukin-6 increased
C0018213,Goiter exophthalmic
C0263912,Impingement syndrome
C0018213,Exophthalmic goiter
C0001623,Adrenal hypofunction
C0019655,Histoplasma infections
C0004095,Eye strain
C0015695,Liver fatty metamorphosis
C0234708,Pressure intraocular increased
C0024121,Lung neoplasm NOS
C0020175,Hunger
C0023038,Celiotomy
C0036420,Circumscribed scleroderma
C0015695,Fatty liver infiltration
C0015695,Metamorphosis fatty liver
C0014859,Oesophageal neoplasm
C0268381,AL amyloidosis
C0015695,Infiltration fatty liver
C0006849,Stomatitis monilial
C0040508,Hip total replacement
C0194810,Prostatovesiculectomy
C0006849,Oral thrush
C0949920,Stomach virus
C2239176,Liver carcinoma
C0740304,COPD exacerbation
C0203464,Ultrasound abdomen
C0037317,Sleep disturbance
C0015695,Fatty liver metamorphosis
C0278504,Lung cancer non-small cell stage I
C3160754,Atypical femur fracture
C2239176,Carcinoma hepatocellular
C0039101,Synovial sarcoma NOS
C0561852,Bone injury
C0278504,Non-small cell lung cancer stage I
C2239176,Hepatocellular carcinoma
C0524662,Dependence on opiates
C0700225,Creatinine serum increased
C0268381,Amyloid light-chain amyloidosis
C4049351,Biological antioxidant potential
C0007859,Cervicodynia
C0006849,Thrush
C0011882,Diabetic neuropathy
C0023522,Metachromatic leukodystrophy
C0018213,Exophthalmic goitre
C0204835,Removal of ambulatory peritoneal catheter
C0699812,Formation bone increased
C0006849,Moniliasis oral
C0023038,Laparotomy
C0004095,Tired eyes
C0006849,Oral candida
C1761613,Hyperaemia of conjunctiva
C1761613,Hyperemia of conjunctiva
C0740304,Chronic obstructive airways disease exacerbated
C0019655,Histoplasmosis
C0039446,Telangiectasia
C0699812,Bone formation increased
C0234708,Intraocular pressure high
C0489482,Ejection fraction
C0524662,Opioid type dependence
C0234708,Intraocular pressure raised
C0700225,Raised serum creatinine
C0031039,Effusion pericardial
C4049177,Antioxidant capacity test
C0001623,Hypoadrenalism
C0234708,IOP increased
C0194810,Radical prostatectomy
C0204977,Home care
C0015695,Liver fatty
C0018213,Graves-Basedow disease
C0036420,Scleroderma circumscribed
C0234708,Tension ocular increased
C0403677,Bladder injury
C0581883,Deafness total
C0018213,Autoimmune hyperthyroidism
C2239176,Hepatoma
C0521542,Brain stem stroke
C0037317,Unspecified sleep disturbance
C0015695,Liver fatty degeneration
C0014859,Esophageal neoplasm
C0001623,Adrenal gland insufficiency
C3671887,Urine sodium increased
C0185188,Fasciotomy
C0455052,Bowel preparation
C0015695,Degeneration fatty liver
C0001883,Airways obstruction
C0326567,Songbirds
C0326586,Songbirds
C0599666,Songbirds
C0326368,Songbirds
C1449641,Songbirds
C0542318,Songbirds
C0600538,Songbirds
C0008928,Cleidocranial Dysplasia
C0376452,DNA Methylation
C0449943,Serogroup
C0449543,Serogroup
C0037819,Speech Articulation Tests
C2239176,"Carcinoma, Hepatocellular"
C0040560,"Toxoplasmosis, Congenital"
C0751562,"Toxoplasmosis, Congenital"
C0011291,Population Control
C0032678,Population Control
C0032662,Population Control
C0032679,Population Control
C0012632,"Discrimination, Psychological"
C0083727,Neurogranin
C0230871,Mitochondrial Dynamics
C1156067,Mitochondrial Dynamics
C3494415,Mitochondrial Dynamics
C0888353,"2,4-dichlorophenol"
C0888354,"2,4-dichlorophenol"
C0888352,"2,4-dichlorophenol"
C0045488,"2,4-dichlorophenol"
C0597611,Tumor Suppressor Proteins
C0949705,Tumor Suppressor Proteins
C0949706,Tumor Suppressor Proteins
C0613658,"Receptors, Melatonin"
C0900012,"Receptors, Melatonin"
C0065911,"Receptors, Melatonin"
C0950511,"2,2',3,5',6-pentachlorobiphenyl"
C0377470,"2,2',3,5',6-pentachlorobiphenyl"
C0001925,Albuminuria
C1259807,"CCNE1 protein, human"
C0004903,Beckwith-Wiedemann Syndrome
C3658211,Hypoxia-Inducible Factor-Proline Dioxygenases
C3658213,Hypoxia-Inducible Factor-Proline Dioxygenases
C3658212,Hypoxia-Inducible Factor-Proline Dioxygenases
C3542014,Hypoxia-Inducible Factor-Proline Dioxygenases
C0086153,Diet Therapy
C0012159,Diet Therapy
C0425422,Diet Therapy
C5197831,Diet Therapy
C0997177,Saccharum
C0997178,Saccharum
C1023395,Saccharum
C0005393,Bile Canaliculi
C0079785,Macrophage-1 Antigen
C0376391,Trypanosoma
C0041215,Trypanosoma
C1721020,Virus Internalization
C1537068,Virus Internalization
C0349382,Olea
C0996956,Olea
C1122969,Olea
C0008301,Airway Obstruction
C0001883,Airway Obstruction
C0032356,Poland
C0086129,Delayed-Action Preparations
C1136250,Delayed-Action Preparations
C0011202,Delayed-Action Preparations
C1135767,Delayed-Action Preparations
C1135769,Delayed-Action Preparations
C1135768,Delayed-Action Preparations
C0069515,"Receptor, ErbB-2"
C1282959,Sternotomy
C0185792,Sternotomy
C0017469,Geriatrics
C0205767,Geriatrics
C0162438,Tissue and Organ Harvesting
C1449271,Tissue and Organ Harvesting
C0554626,Tissue and Organ Harvesting
C0185110,Tissue and Organ Harvesting
C0005682,Urinary Bladder
C0225358,Urinary Bladder
C0317830,Mycoplasma ovipneumoniae
C0012463,Dinitrofluorobenzene
C0027755,Nerve Net
C0242406,Nerve Net
C0995303,Thermus aquaticus
C0040395,Tomography
C1522445,Dendritic Cells
C1956386,Dendritic Cells
C0011306,Dendritic Cells
C1623039,Dendritic Cells
C1956385,Dendritic Cells
C0085087,3T3 Cells
C0013218,"Drug Therapy, Combination"
C2717829,"Drug Therapy, Combination"
C0904197,Dihydroorotate Dehydrogenase
C0058099,Dihydroorotate Dehydrogenase
C0058100,Dihydroorotate Dehydrogenase
C0964957,Dihydroorotate Dehydrogenase
C0113924,Dihydroorotate Dehydrogenase
C2351044,"MIRN34 microRNA, human"
C4547705,"MIRN34 microRNA, human"
C2606332,"MIRN34 microRNA, human"
C4045548,"MIRN34 microRNA, human"
C4508884,"MIRN34 microRNA, human"
C2606330,"MIRN34 microRNA, human"
C2606331,"MIRN34 microRNA, human"
C0080124,"RNA, Antisense"
C0046237,2-Hydroxypropyl-beta-cyclodextrin
C0034911,Phosphorus
C0031705,Phosphorus
C0043400,Phosphorus
C0302947,Phosphorus
C0386482,"Receptors, Purinergic P2X7"
C0017337,Genes
C0440471,Genes
C0008844,Genes
C0009339,Collagen Type X
C0949614,Collagen Type X
C0949613,Collagen Type X
C0039446,Telangiectasis
C1138421,Telangiectasis
C3658228,S100 Calcium Binding Protein beta Subunit
C1959616,Phosphatidylcholines
C0012120,Dictyostelium
C0086149,Dictyostelium
C0085099,Incontinence Pads
C0521974,"Diet, High-Fat"
C0340643,"Aneurysm, Dissecting"
C0002949,"Aneurysm, Dissecting"
C4277533,"Aneurysm, Dissecting"
C0085295,Interleukin-10
C0026241,Mitochondria
C0026237,Mitochondria
C1723513,HLA-DQB1 antigen
C2716073,HLA-DQB1 antigen
C1566925,HLA-DQB1 antigen
C0963123,HLA-DQB1 antigen
C1957840,HLA-DQB1 antigen
C1531041,HLA-DQB1 antigen
C1136848,HLA-DQB1 antigen
C1610380,HLA-DQB1 antigen
C1136850,HLA-DQB1 antigen
C0440644,HLA-DQB1 antigen
C2975512,HLA-DQB1 antigen
C1872426,HLA-DQB1 antigen
C2716066,HLA-DQB1 antigen
C1721287,HLA-DQB1 antigen
C1958272,HLA-DQB1 antigen
C0122020,HLA-DQB1 antigen
C0967357,HLA-DQB1 antigen
C3661395,HLA-DQB1 antigen
C2353586,HLA-DQB1 antigen
C3886600,HLA-DQB1 antigen
C0022067,Ireland
C0043210,Women
C0242543,Women
C0268134,DNA Repair-Deficiency Disorders
C1563696,DNA Repair-Deficiency Disorders
C1563697,DNA Repair-Deficiency Disorders
C0006849,"Candidiasis, Oral"
C1533698,Nitric Oxide Synthase Type II
C0030697,Patient Advocacy
C1258667,Patient Advocacy
C0030701,Patient Advocacy
C0030674,Patient Advocacy
C0043544,Zygote
C0344453,Prolactinoma
C0033375,Prolactinoma
C0344452,Prolactinoma
C0401974,"Medical Staff, Hospital"
C0025109,"Medical Staff, Hospital"
C0004267,"Medical Staff, Hospital"
C0524635,"Medical Staff, Hospital"
C4083157,Alprostadil
C4505359,Alprostadil
C0592016,Alprostadil
C0591238,Alprostadil
C0002335,Alprostadil
C2930545,Alprostadil
C4505360,Alprostadil
C2366566,Alprostadil
C0593527,Alprostadil
C5241046,Home Care Services
C0019855,Home Care Services
C0204977,Home Care Services
C2931158,Idiopathic subglottic tracheal stenosis
C4042875,Cell Plasticity
C0123085,Fulvestrant
C0935916,Fulvestrant
C1123005,Fulvestrant
C0701491,Fulvestrant
C0323674,Pyroglyphidae
C0998368,Pyroglyphidae
C0998367,Pyroglyphidae
C0751181,Craniocerebral Trauma
C0555305,Craniocerebral Trauma
C0018674,Craniocerebral Trauma
C0451948,Craniocerebral Trauma
C0751183,Craniocerebral Trauma
C0518454,Craniocerebral Trauma
C0451981,Craniocerebral Trauma
C0751182,Craniocerebral Trauma
C0751184,Craniocerebral Trauma
C0347536,Craniocerebral Trauma
C0019655,Histoplasmosis
C0153261,Histoplasmosis
C0010364,"Crosses, Genetic"
C0001911,Albendazole
C1448343,Albendazole
C4316994,Albendazole
C1448345,Albendazole
C4082719,Albendazole
C0591462,Albendazole
C1448344,Albendazole
C1448347,Albendazole
C0887754,Albendazole
C1448346,Albendazole
C0700675,Albendazole
C0700706,Albendazole
C4505458,Albendazole
C1448341,Albendazole
C0700676,Albendazole
C4082752,Albendazole
C1448342,Albendazole
C0242614,Genomic Imprinting
C0042449,Veins
C0285890,alpha-Synuclein
C0376165,Cryoglobulins
C0010404,Cryoglobulins
C0917872,Renal Dialysis
C0019004,Renal Dialysis
C4551529,Renal Dialysis
C0010031,Cornea
C1008772,Penicillium italicum
C1097299,"CD44 protein, human"
C1723827,"CD44 protein, human"
C1701136,"CD44 protein, human"
C1566605,"CD44 protein, human"
C0034071,Pulmonary Gas Exchange
C0025205,"Melanoma, Experimental"
C0018598,"Melanoma, Experimental"
C0009075,"Melanoma, Experimental"
C0004565,"Melanoma, Experimental"
C0011882,Diabetic Neuropathies
C0271673,Diabetic Neuropathies
C0271674,Diabetic Neuropathies
C0751074,Diabetic Neuropathies
C0393835,Diabetic Neuropathies
C0271686,Diabetic Neuropathies
C0271685,Diabetic Neuropathies
C0271678,Diabetic Neuropathies
C0271680,Diabetic Neuropathies
C0149576,Posterior Cerebral Artery
C0042567,Vertebrates
C1744621,Auditory Cortex
C2954070,Auditory Cortex
C2328538,Auditory Cortex
C2334445,Auditory Cortex
C0004302,Auditory Cortex
C2936756,Medical Informatics
C0025088,Medical Informatics
C0025075,Medical Informatics
C0008960,Medical Informatics
C0025091,Medical Informatics
C1504464,Endoleak
C0011216,Delphi Technique
C0086109,Delphi Technique
C0007581,Cellular Senescence
C5550967,Cellular Senescence
C0034424,Quinolines
C0040071,Thymectomy
C2744274,"MIRN221 microRNA, mouse"
C0011053,Deafness
C0751068,Deafness
C0151585,Deafness
C0581883,Deafness
C0086395,Deafness
C0011052,Deafness
C4082305,Deafness
C0036581,Selenium
C0563150,Catastrophization
C3178745,Catastrophization
C0040087,Thymine
C2350869,"Kiss1 protein, rat"
C1454928,"Kiss1 protein, rat"
C3179411,"Kiss1 protein, rat"
C3179410,"Kiss1 protein, rat"
C3179412,"Kiss1 protein, rat"
C0027423,Nasal Cavity
C0033631,Protein Hydrolysates
C0878317,Glutaral
C0731164,Glutaral
C1567633,Glutaral
C0878315,Glutaral
C1567635,Glutaral
C0878318,Glutaral
C1567634,Glutaral
C0017814,Glutaral
C0878316,Glutaral
C1567632,Glutaral
C4308952,azocyclotin
C0041365,"Biomarkers, Tumor"
C0041366,"Biomarkers, Tumor"
C0018221,Salmonidae
C0043156,Salmonidae
C0036129,Salmonidae
C0038574,Health Planning Support
C0018733,Health Planning Support
C0018175,Health Planning Support
C0949920,Norovirus
C1464214,Chitinibacter
C0042567,Vertebrata
C0041215,Trypanosoma
C1008095,Agastache rugosa
C1008086,Paulownia
C3973343,Galloanserae
C3095069,Grapevine leafroll-associated virus
C0997177,Saccharum
C0275551,Spontaneous bacterial peritonitis
C0241397,"Other congenital malformations of upper limb(s), including shoulder girdle"
C0478070,"Other congenital malformations of upper limb(s), including shoulder girdle"
C0008928,"Other congenital malformations of upper limb(s), including shoulder girdle"
C0158763,"Other congenital malformations of upper limb(s), including shoulder girdle"
C0152441,"Other congenital malformations of upper limb(s), including shoulder girdle"
C0265565,"Other congenital malformations of upper limb(s), including shoulder girdle"
C0265609,"Other congenital malformations of upper limb(s), including shoulder girdle"
C0152438,"Other congenital malformations of upper limb(s), including shoulder girdle"
C0158761,"Other congenital malformations of upper limb(s), including shoulder girdle"
C0524662,Opioid dependence
C0019655,"Histoplasmosis, unspecified"
C0175695,Congenital malformation syndromes involving early overgrowth
C0004903,Congenital malformation syndromes involving early overgrowth
C0495640,Congenital malformation syndromes involving early overgrowth
C0265210,Congenital malformation syndromes involving early overgrowth
C0009806,"Constipation, unspecified"
C0019655,Histoplasmosis
C0023522,Metachromatic leukodystrophy
C0006849,"Candidiasis, unspecified"
C0006840,"Candidiasis, unspecified"
C0340643,Dissection of aorta
C0036420,Localized scleroderma [morphea]
C0340643,Dissection of unspecified site of aorta
C0001925,"Proteinuria, unspecified"
C0033687,"Proteinuria, unspecified"
C0018213,Thyrotoxicosis with diffuse goiter
C0342122,Thyrotoxicosis with diffuse goiter
C0865140,Thyrotoxicosis with diffuse goiter
C0403677,Unspecified injury of bladder
C0348489,Other sphingolipidosis
C0023522,Other sphingolipidosis
C2874274,Other sphingolipidosis
C0007859,Cervicalgia
C0040560,Congenital toxoplasmosis
C0554616,Congenital toxoplasmosis
C0009806,Constipation
C0006849,Candidal stomatitis
C3264477,"Rotator cuff tear or rupture, not specified as traumatic"
C0263912,"Rotator cuff tear or rupture, not specified as traumatic"
C0263913,"Rotator cuff tear or rupture, not specified as traumatic"
C3264478,"Rotator cuff tear or rupture, not specified as traumatic"
C0004095,Visual discomfort
C0042818,Visual discomfort
C0085636,Visual discomfort
C0039743,Thanatophoric short stature
C1761613,Conjunctival hyperemia
C0009691,Congenital cataract
C0153446,"Malignant neoplasm of anus, unspecified"
C2239176,Liver cell carcinoma
C0023903,Liver cell carcinoma
C0403677,Injury of bladder
C0019655,Histoplasmosis
C0019655,"Histoplasmosis, unspecified"
C0009806,Constipation
C0153446,"Malignant neoplasm of anus, unspecified"
C2239176,Liver cell carcinoma
C0040560,Congenital toxoplasmosis
C0009691,Congenital cataract
C0403677,Injury of bladder
C0263912,Rotator cuff syndrome
C0340643,Dissection of aorta [any part]
C0006849,Candidal stomatitis
C0036420,Localized scleroderma [morphea]
C1821269,Waist-Height Ratio
C0751724,Neck Pain
C0007859,Neck Pain
C0751725,Neck Pain
C0671870,Orexins
C0671872,Orexins
C1113688,Orexins
C1612293,"Influenza A Virus, H9N2 Subtype"
C0034656,Random Allocation
C0018213,Graves Disease
C0014445,enzymology
C0243102,enzymology
C0002059,Alkaline Phosphatase
C0584895,Hamstring Muscles
C0224449,Hamstring Muscles
C0224452,Hamstring Muscles
C0224453,Hamstring Muscles
C0268381,Immunoglobulin Light-chain Amyloidosis
C2711227,Fatty Liver
C0015695,Fatty Liver
C0012512,Dipeptides
C1308851,"BSN protein, human"
C0949522,Levivirus
C0206391,Levivirus
C0949520,Levivirus
C0206390,Levivirus
C0949519,Levivirus
C0949521,Levivirus
C4760587,Indigenous Peoples
C0040881,Indigenous Peoples
C0079891,Indigenous Peoples
C5433315,pirfenidone
C0936003,pirfenidone
C3859171,pirfenidone
C0298067,pirfenidone
C0295921,Excitatory Amino Acid Transporter 2
C0060960,Galactolipids
C1135600,Galactolipids
C1135601,Galactolipids
C0965644,"Hypoxia-Inducible Factor 1, alpha Subunit"
C0032486,Polyethyleneimine
C0424134,Pessimism
C1311011,"KCNK18 protein, human"
C0034693,Rats
C0086893,Rats
C0034721,Rats
C2936184,Induced Pluripotent Stem Cells
C3658289,Induced Pluripotent Stem Cells
C2717959,Induced Pluripotent Stem Cells
C3853028,Spinal Cord
C0149601,Spinal Cord
C3853029,Spinal Cord
C3852946,Spinal Cord
C3853027,Spinal Cord
C0037925,Spinal Cord
C4044888,4-(2-(4-chlorophenyl)ethyl)-1-piperidinecarboxylic acid 2-(methylamino)-2-oxoethyl ester
C4310529,4-(2-(4-chlorophenyl)ethyl)-1-piperidinecarboxylic acid 2-(methylamino)-2-oxoethyl ester
C0043393,Yeasts
C0016330,Fluorine
C0039101,"Sarcoma, Synovial"
C0017163,Gastroenterology
C0086403,Gastroenterology
C4307584,bisbenzimide ethoxide trihydrochloride
C0062907,bisbenzimide ethoxide trihydrochloride
C4549452,bisbenzimide ethoxide trihydrochloride
C0389836,4-(methylnitrosamino)-1-(3-pyridyl)-1-butan-1-ol
C2713543,Neurofeedback
C2713542,Neurofeedback
C0002423,Ambulatory Care
C0086751,Ambulatory Care
C2362545,Ambulatory Care
C0008952,Ambulatory Care
C0028128,Nitric Oxide
C0110610,Connective Tissue Growth Factor
C0071669,polyribitol phosphate
C0002668,Amphibia
C0036108,Oncorhynchus mykiss
C0995303,Thermus aquaticus
C0086149,Dictyostelium discoideum
C1008772,Penicillium italicum
C1007013,Aegilops tauschii
C0006896,Capillaria
C0206390,Escherichia virus MS2
C0042567,Vertebrata
C0317830,Mycoplasma ovipneumoniae
C0041215,Trypanosoma sp.
C0996956,Olea
C0998367,Pyroglyphidae
C0040684,"Transformation, Genetic"
C0035304,Retinal Degeneration
C0001068,Acetyltransferases
C0213721,gamma interferon activation factor
C0379862,gamma interferon activation factor
C0079071,"Genes, ras"
C0079060,"Genes, ras"
C0079056,"Genes, ras"
C0034678,"Genes, ras"
C0080286,"Genes, ras"
C0018446,"Genes, ras"
C0080289,"Genes, ras"
C0079061,"Genes, ras"
C1533641,"Genes, ras"
C0034677,"Genes, ras"
C0079065,"Genes, ras"
C0079063,"Genes, ras"
C0079057,"Genes, ras"
C0027260,"Genes, ras"
C0079472,"Genes, ras"
C0080290,"Genes, ras"
C1537502,"Genes, ras"
C0080291,"Genes, ras"
C0079656,"Genes, ras"
C0080292,"Genes, ras"
C0079072,"Genes, ras"
C0080287,"Genes, ras"
C0080285,"Genes, ras"
C0080288,"Genes, ras"
C0022457,"Genes, ras"
C0079058,"Genes, ras"
C0079062,"Genes, ras"
C0079657,"Genes, ras"
C0079473,"Genes, ras"
C0546837,Esophageal Neoplasms
C0014859,Esophageal Neoplasms
C0036530,Schools
C0036375,Schools
C0033145,Schools
C0024908,Research Design
C0035177,Research Design
C0086912,Research Design
C0036449,Research Design
C0035174,Research Design
C4505431,Research Design
C0011000,Research Design
C0242484,Research Design
C0015320,Research Design
C0035171,Research Design
C4046011,Research Design
C0033210,Research Design
C1706374,Tumor Necrosis Factor Ligand Superfamily Member 13
C5237738,Psychological Tests
C0033905,Psychological Tests
C0380453,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one
C0298346,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one
C0036420,"Scleroderma, Localized"
C1527383,"Scleroderma, Localized"
C0263409,"Scleroderma, Localized"
C0011644,"Scleroderma, Localized"
C1527239,Norovirus
C0949920,Norovirus
C0020175,Hunger
C0041700,United Kingdom
C0018223,United Kingdom
C0022132,United Kingdom
C1612849,olmesartan
C1570869,olmesartan
C1098320,olmesartan
C0003257,Immunologic Deficiency Syndromes
C0021051,Immunologic Deficiency Syndromes
C1744635,"Phospholipases A2, Cytosolic"
C0005591,Bird Diseases
C0036674,Sensory Deprivation
C0751488,Elastomers
C0013766,Elastomers
C0455717,Brain Stem Infarctions
C0455715,Brain Stem Infarctions
C0521542,Brain Stem Infarctions
C0271373,Brain Stem Infarctions
C0751963,Brain Stem Infarctions
C0455716,Brain Stem Infarctions
C0455718,Brain Stem Infarctions
C0600678,Abstracts
C0652451,coniferaldehyde
C0075742,ADP-ribosyl Cyclase 1
C0039743,Thanatophoric Dysplasia
C0017801,Glutamate-Ammonia Ligase
C1510541,Evidence-Based Practice
C2350327,Evidence-Based Practice
C4042762,Evidence-Based Practice
C1321876,HIV Testing
C0459958,HIV Testing
C5392830,HIV Testing
C0042736,Viral Proteins
C0007588,Cell Degranulation
C5392199,"Vaccines, Combined"
C5392192,"Vaccines, Combined"
C0206253,"Vaccines, Combined"
C5392195,"Vaccines, Combined"
C5392196,"Vaccines, Combined"
C5392198,"Vaccines, Combined"
C5392193,"Vaccines, Combined"
C1514218,"Vaccines, Combined"
C5392194,"Vaccines, Combined"
C5392197,"Vaccines, Combined"
C0237326,Constipation
C1257861,Constipation
C0009806,Constipation
C0037827,Speech Production Measurement
C0038532,Subclavian Vein
C0031039,Pericardial Effusion
C0242426,Pericardial Effusion
C0019064,Pericardial Effusion
C0005401,"Bile Ducts, Intrahepatic"
C0531254,"Wiskott-Aldrich Syndrome Protein, Neuronal"
C0140080,"Receptor, IGF Type 1"
C0751653,"Receptor, IGF Type 1"
C0751654,"Receptor, IGF Type 1"
C0596533,Escherichia coli K12
C0038720,Sulfates
C3536965,Sulfates
C1957162,"SLC39A10 protein, human"
C0162686,Dental Prosthesis
C0162802,"Sequence Analysis, DNA"
C0917792,"Sequence Analysis, DNA"
C1514693,Radiation Oncologists
C0058467,disoxaril
C0148781,disoxaril
C0303395,Cobalt-60
C0428883,Blood Pressure
C0005823,Blood Pressure
C0949236,Blood Pressure
C0871470,Blood Pressure
C2936329,Asymptomatic Diseases
C1411976,Toll-Like Receptor 4
C2336112,Frontal Lobe
C3499344,Frontal Lobe
C0016733,Frontal Lobe
C3498745,Frontal Lobe
C0004741,Macaca
C0085829,Macaca
C0205802,Macaca
C0024398,Macaca
C1564097,"Regulatory Elements, Transcriptional"
C0062773,Histone Acetyltransferases
C0080203,Tachycardia
C0039231,Tachycardia
C0008455,Chondroitin ABC Lyase
C0185188,Fasciotomy
C1434641,"MAP2K2 protein, human"
C0007328,Case-Control Studies
C0027775,Case-Control Studies
C0024907,Case-Control Studies
C0026168,Laparotomy
C0023038,Laparotomy
C0008861,Citrinin
C0442519,Home Environment
C5545285,Home Environment
C0439044,Home Environment
C0150098,Dataset
C1579268,Mineralocorticoid Receptor Antagonists
C0002007,Mineralocorticoid Receptor Antagonists
C1565888,Hepatocyte Nuclear Factor 4
C1565829,Hepatocyte Nuclear Factor 4
C1571512,Hepatocyte Nuclear Factor 4
C0084821,Hepatocyte Nuclear Factor 4
C0029095,Opioid-Related Disorders
C0027412,Opioid-Related Disorders
C5392920,Opioid-Related Disorders
C5392921,Opioid-Related Disorders
C4551628,Opioid-Related Disorders
C5392919,Opioid-Related Disorders
C0524662,Opioid-Related Disorders
C4324621,Opioid-Related Disorders
C3714710,Fetus
C0242291,Fetus
