,PMID,topic_number,topic_probs,topic_keywords,keywords
30,15819996,5,0.9946418404579163,"[('cell', 0.032), ('A7', 0.018), ('mouse', 0.017), ('Annexin', 0.011), ('differentiation', 0.009), ('protein', 0.008), ('annexin', 0.007), ('development', 0.007), ('apoptotic', 0.007), ('bone', 0.007)]","['cell', 'A7', 'mouse', 'Annexin', 'differentiation', 'protein', 'annexin', 'development', 'apoptotic', 'bone']"
31,15836427,9,0.9891532063484192,"[('expression', 0.021), ('cell', 0.02), ('mouse', 0.016), ('gene', 0.015), ('protein', 0.007), ('Abstract', 0.006), ('mutant', 0.006), ('development', 0.006), ('factor', 0.005), ('study', 0.005)]","['expression', 'cell', 'mouse', 'gene', 'protein', 'Abstract', 'mutant', 'development', 'factor', 'study']"
32,15850489,7,0.995908260345459,"[('mouse', 0.026), ('γ2', 0.015), ('protein', 0.011), ('gene', 0.01), ('taste', 0.007), ('domain', 0.006), ('cubilin', 0.006), ('SAM', 0.006), ('behavior', 0.006), ('expression', 0.006)]","['mouse', 'γ2', 'protein', 'gene', 'taste', 'domain', 'cubilin', 'SAM', 'behavior', 'expression']"
33,15876356,3,0.9905236959457397,"[('olfactory', 0.018), ('mouse', 0.017), ('gene', 0.017), ('receptor', 0.015), ('model', 0.01), ('identified', 0.007), ('function', 0.007), ('mutant', 0.007), ('MSUD', 0.006), ('Abstract', 0.006)]","['olfactory', 'mouse', 'gene', 'receptor', 'model', 'identified', 'function', 'mutant', 'MSUD', 'Abstract']"
34,15882093,1,0.995053768157959,"[('mouse', 0.014), ('cell', 0.011), ('human', 0.01), ('role', 0.008), ('expression', 0.008), ('development', 0.008), ('factor', 0.007), ('gene', 0.007), ('muscle', 0.007), ('mutation', 0.007)]","['mouse', 'cell', 'human', 'role', 'expression', 'development', 'factor', 'gene', 'muscle', 'mutation']"
35,15921521,6,0.9955435991287231,"[('mouse', 0.025), ('gene', 0.016), ('cell', 0.012), ('chromosome', 0.011), ('phenotype', 0.009), ('background', 0.007), ('protein', 0.007), ('sex', 0.007), ('Acdp', 0.007), ('genetic', 0.006)]","['mouse', 'gene', 'cell', 'chromosome', 'phenotype', 'background', 'protein', 'sex', 'Acdp', 'genetic']"
36,15938754,7,0.7181559801101685,"[('mouse', 0.026), ('γ2', 0.015), ('protein', 0.011), ('gene', 0.01), ('taste', 0.007), ('domain', 0.006), ('cubilin', 0.006), ('SAM', 0.006), ('behavior', 0.006), ('expression', 0.006)]","['mouse', 'γ2', 'protein', 'gene', 'taste', 'domain', 'cubilin', 'SAM', 'behavior', 'expression']"
37,16026622,8,0.9957736134529114,"[('mouse', 0.024), ('cell', 0.01), ('gene', 0.009), ('development', 0.009), ('role', 0.008), ('signaling', 0.007), ('RanBP2', 0.007), ('phenotype', 0.006), ('protein', 0.006), ('receptor', 0.006)]","['mouse', 'cell', 'gene', 'development', 'role', 'signaling', 'RanBP2', 'phenotype', 'protein', 'receptor']"
38,16027110,1,0.9926211833953857,"[('mouse', 0.014), ('cell', 0.011), ('human', 0.01), ('role', 0.008), ('expression', 0.008), ('development', 0.008), ('factor', 0.007), ('gene', 0.007), ('muscle', 0.007), ('mutation', 0.007)]","['mouse', 'cell', 'human', 'role', 'expression', 'development', 'factor', 'gene', 'muscle', 'mutation']"
39,16103912,1,0.9926812648773193,"[('mouse', 0.014), ('cell', 0.011), ('human', 0.01), ('role', 0.008), ('expression', 0.008), ('development', 0.008), ('factor', 0.007), ('gene', 0.007), ('muscle', 0.007), ('mutation', 0.007)]","['mouse', 'cell', 'human', 'role', 'expression', 'development', 'factor', 'gene', 'muscle', 'mutation']"
40,16109169,9,0.9863364696502686,"[('expression', 0.021), ('cell', 0.02), ('mouse', 0.016), ('gene', 0.015), ('protein', 0.007), ('Abstract', 0.006), ('mutant', 0.006), ('development', 0.006), ('factor', 0.005), ('study', 0.005)]","['expression', 'cell', 'mouse', 'gene', 'protein', 'Abstract', 'mutant', 'development', 'factor', 'study']"
41,16110338,3,0.9810235500335693,"[('olfactory', 0.018), ('mouse', 0.017), ('gene', 0.017), ('receptor', 0.015), ('model', 0.01), ('identified', 0.007), ('function', 0.007), ('mutant', 0.007), ('MSUD', 0.006), ('Abstract', 0.006)]","['olfactory', 'mouse', 'gene', 'receptor', 'model', 'identified', 'function', 'mutant', 'MSUD', 'Abstract']"
42,16121255,5,0.10591348260641098,"[('cell', 0.032), ('A7', 0.018), ('mouse', 0.017), ('Annexin', 0.011), ('differentiation', 0.009), ('protein', 0.008), ('annexin', 0.007), ('development', 0.007), ('apoptotic', 0.007), ('bone', 0.007)]","['cell', 'A7', 'mouse', 'Annexin', 'differentiation', 'protein', 'annexin', 'development', 'apoptotic', 'bone']"
43,16121256,1,0.9888859987258911,"[('mouse', 0.014), ('cell', 0.011), ('human', 0.01), ('role', 0.008), ('expression', 0.008), ('development', 0.008), ('factor', 0.007), ('gene', 0.007), ('muscle', 0.007), ('mutation', 0.007)]","['mouse', 'cell', 'human', 'role', 'expression', 'development', 'factor', 'gene', 'muscle', 'mutation']"
44,16216087,9,0.9912592768669128,"[('expression', 0.021), ('cell', 0.02), ('mouse', 0.016), ('gene', 0.015), ('protein', 0.007), ('Abstract', 0.006), ('mutant', 0.006), ('development', 0.006), ('factor', 0.005), ('study', 0.005)]","['expression', 'cell', 'mouse', 'gene', 'protein', 'Abstract', 'mutant', 'development', 'factor', 'study']"
45,16221973,9,0.9933308959007263,"[('expression', 0.021), ('cell', 0.02), ('mouse', 0.016), ('gene', 0.015), ('protein', 0.007), ('Abstract', 0.006), ('mutant', 0.006), ('development', 0.006), ('factor', 0.005), ('study', 0.005)]","['expression', 'cell', 'mouse', 'gene', 'protein', 'Abstract', 'mutant', 'development', 'factor', 'study']"
46,16255782,0,0.9951079487800598,"[('gene', 0.022), ('mouse', 0.012), ('individual', 0.012), ('protein', 0.011), ('factor', 0.011), ('transcription', 0.01), ('antioxidant', 0.008), ('microtubule', 0.008), ('expressed', 0.007), ('DNA', 0.007)]","['gene', 'mouse', 'individual', 'protein', 'factor', 'transcription', 'antioxidant', 'microtubule', 'expressed', 'DNA']"
47,16279840,9,0.9947961568832397,"[('expression', 0.021), ('cell', 0.02), ('mouse', 0.016), ('gene', 0.015), ('protein', 0.007), ('Abstract', 0.006), ('mutant', 0.006), ('development', 0.006), ('factor', 0.005), ('study', 0.005)]","['expression', 'cell', 'mouse', 'gene', 'protein', 'Abstract', 'mutant', 'development', 'factor', 'study']"
48,16362077,5,0.9936605095863342,"[('cell', 0.032), ('A7', 0.018), ('mouse', 0.017), ('Annexin', 0.011), ('differentiation', 0.009), ('protein', 0.008), ('annexin', 0.007), ('development', 0.007), ('apoptotic', 0.007), ('bone', 0.007)]","['cell', 'A7', 'mouse', 'Annexin', 'differentiation', 'protein', 'annexin', 'development', 'apoptotic', 'bone']"
49,16433929,8,0.9929111003875732,"[('mouse', 0.024), ('cell', 0.01), ('gene', 0.009), ('development', 0.009), ('role', 0.008), ('signaling', 0.007), ('RanBP2', 0.007), ('phenotype', 0.006), ('protein', 0.006), ('receptor', 0.006)]","['mouse', 'cell', 'gene', 'development', 'role', 'signaling', 'RanBP2', 'phenotype', 'protein', 'receptor']"
50,16462940,8,0.9924976229667664,"[('mouse', 0.024), ('cell', 0.01), ('gene', 0.009), ('development', 0.009), ('role', 0.008), ('signaling', 0.007), ('RanBP2', 0.007), ('phenotype', 0.006), ('protein', 0.006), ('receptor', 0.006)]","['mouse', 'cell', 'gene', 'development', 'role', 'signaling', 'RanBP2', 'phenotype', 'protein', 'receptor']"
51,16504143,0,0.9918160438537598,"[('gene', 0.022), ('mouse', 0.012), ('individual', 0.012), ('protein', 0.011), ('factor', 0.011), ('transcription', 0.01), ('antioxidant', 0.008), ('microtubule', 0.008), ('expressed', 0.007), ('DNA', 0.007)]","['gene', 'mouse', 'individual', 'protein', 'factor', 'transcription', 'antioxidant', 'microtubule', 'expressed', 'DNA']"
52,16504174,5,0.16927149891853333,"[('cell', 0.032), ('A7', 0.018), ('mouse', 0.017), ('Annexin', 0.011), ('differentiation', 0.009), ('protein', 0.008), ('annexin', 0.007), ('development', 0.007), ('apoptotic', 0.007), ('bone', 0.007)]","['cell', 'A7', 'mouse', 'Annexin', 'differentiation', 'protein', 'annexin', 'development', 'apoptotic', 'bone']"
53,16507151,3,0.9927985072135925,"[('olfactory', 0.018), ('mouse', 0.017), ('gene', 0.017), ('receptor', 0.015), ('model', 0.01), ('identified', 0.007), ('function', 0.007), ('mutant', 0.007), ('MSUD', 0.006), ('Abstract', 0.006)]","['olfactory', 'mouse', 'gene', 'receptor', 'model', 'identified', 'function', 'mutant', 'MSUD', 'Abstract']"
54,16517939,0,0.9881547689437866,"[('gene', 0.022), ('mouse', 0.012), ('individual', 0.012), ('protein', 0.011), ('factor', 0.011), ('transcription', 0.01), ('antioxidant', 0.008), ('microtubule', 0.008), ('expressed', 0.007), ('DNA', 0.007)]","['gene', 'mouse', 'individual', 'protein', 'factor', 'transcription', 'antioxidant', 'microtubule', 'expressed', 'DNA']"
55,16539743,7,0.9946413636207581,"[('mouse', 0.026), ('γ2', 0.015), ('protein', 0.011), ('gene', 0.01), ('taste', 0.007), ('domain', 0.006), ('cubilin', 0.006), ('SAM', 0.006), ('behavior', 0.006), ('expression', 0.006)]","['mouse', 'γ2', 'protein', 'gene', 'taste', 'domain', 'cubilin', 'SAM', 'behavior', 'expression']"
56,16579849,3,0.9952116012573242,"[('olfactory', 0.018), ('mouse', 0.017), ('gene', 0.017), ('receptor', 0.015), ('model', 0.01), ('identified', 0.007), ('function', 0.007), ('mutant', 0.007), ('MSUD', 0.006), ('Abstract', 0.006)]","['olfactory', 'mouse', 'gene', 'receptor', 'model', 'identified', 'function', 'mutant', 'MSUD', 'Abstract']"
57,16787536,7,0.9937050342559814,"[('mouse', 0.026), ('γ2', 0.015), ('protein', 0.011), ('gene', 0.01), ('taste', 0.007), ('domain', 0.006), ('cubilin', 0.006), ('SAM', 0.006), ('behavior', 0.006), ('expression', 0.006)]","['mouse', 'γ2', 'protein', 'gene', 'taste', 'domain', 'cubilin', 'SAM', 'behavior', 'expression']"
58,16800892,9,0.9952366948127747,"[('expression', 0.021), ('cell', 0.02), ('mouse', 0.016), ('gene', 0.015), ('protein', 0.007), ('Abstract', 0.006), ('mutant', 0.006), ('development', 0.006), ('factor', 0.005), ('study', 0.005)]","['expression', 'cell', 'mouse', 'gene', 'protein', 'Abstract', 'mutant', 'development', 'factor', 'study']"
59,16870721,8,0.9902139902114868,"[('mouse', 0.024), ('cell', 0.01), ('gene', 0.009), ('development', 0.009), ('role', 0.008), ('signaling', 0.007), ('RanBP2', 0.007), ('phenotype', 0.006), ('protein', 0.006), ('receptor', 0.006)]","['mouse', 'cell', 'gene', 'development', 'role', 'signaling', 'RanBP2', 'phenotype', 'protein', 'receptor']"
60,16968134,6,0.8523577451705933,"[('mouse', 0.025), ('gene', 0.016), ('cell', 0.012), ('chromosome', 0.011), ('phenotype', 0.009), ('background', 0.007), ('protein', 0.007), ('sex', 0.007), ('Acdp', 0.007), ('genetic', 0.006)]","['mouse', 'gene', 'cell', 'chromosome', 'phenotype', 'background', 'protein', 'sex', 'Acdp', 'genetic']"
61,17022820,6,0.9954305291175842,"[('mouse', 0.025), ('gene', 0.016), ('cell', 0.012), ('chromosome', 0.011), ('phenotype', 0.009), ('background', 0.007), ('protein', 0.007), ('sex', 0.007), ('Acdp', 0.007), ('genetic', 0.006)]","['mouse', 'gene', 'cell', 'chromosome', 'phenotype', 'background', 'protein', 'sex', 'Acdp', 'genetic']"
62,17029558,3,0.9916642308235168,"[('olfactory', 0.018), ('mouse', 0.017), ('gene', 0.017), ('receptor', 0.015), ('model', 0.01), ('identified', 0.007), ('function', 0.007), ('mutant', 0.007), ('MSUD', 0.006), ('Abstract', 0.006)]","['olfactory', 'mouse', 'gene', 'receptor', 'model', 'identified', 'function', 'mutant', 'MSUD', 'Abstract']"
63,17069463,8,0.9946091771125793,"[('mouse', 0.024), ('cell', 0.01), ('gene', 0.009), ('development', 0.009), ('role', 0.008), ('signaling', 0.007), ('RanBP2', 0.007), ('phenotype', 0.006), ('protein', 0.006), ('receptor', 0.006)]","['mouse', 'cell', 'gene', 'development', 'role', 'signaling', 'RanBP2', 'phenotype', 'protein', 'receptor']"
64,17078885,9,0.992681086063385,"[('expression', 0.021), ('cell', 0.02), ('mouse', 0.016), ('gene', 0.015), ('protein', 0.007), ('Abstract', 0.006), ('mutant', 0.006), ('development', 0.006), ('factor', 0.005), ('study', 0.005)]","['expression', 'cell', 'mouse', 'gene', 'protein', 'Abstract', 'mutant', 'development', 'factor', 'study']"
65,17083276,8,0.9937912225723267,"[('mouse', 0.024), ('cell', 0.01), ('gene', 0.009), ('development', 0.009), ('role', 0.008), ('signaling', 0.007), ('RanBP2', 0.007), ('phenotype', 0.006), ('protein', 0.006), ('receptor', 0.006)]","['mouse', 'cell', 'gene', 'development', 'role', 'signaling', 'RanBP2', 'phenotype', 'protein', 'receptor']"
66,17194222,3,0.9930747151374817,"[('olfactory', 0.018), ('mouse', 0.017), ('gene', 0.017), ('receptor', 0.015), ('model', 0.01), ('identified', 0.007), ('function', 0.007), ('mutant', 0.007), ('MSUD', 0.006), ('Abstract', 0.006)]","['olfactory', 'mouse', 'gene', 'receptor', 'model', 'identified', 'function', 'mutant', 'MSUD', 'Abstract']"
67,17201918,8,0.9954531788825989,"[('mouse', 0.024), ('cell', 0.01), ('gene', 0.009), ('development', 0.009), ('role', 0.008), ('signaling', 0.007), ('RanBP2', 0.007), ('phenotype', 0.006), ('protein', 0.006), ('receptor', 0.006)]","['mouse', 'cell', 'gene', 'development', 'role', 'signaling', 'RanBP2', 'phenotype', 'protein', 'receptor']"
68,17206865,6,0.9931803345680237,"[('mouse', 0.025), ('gene', 0.016), ('cell', 0.012), ('chromosome', 0.011), ('phenotype', 0.009), ('background', 0.007), ('protein', 0.007), ('sex', 0.007), ('Acdp', 0.007), ('genetic', 0.006)]","['mouse', 'gene', 'cell', 'chromosome', 'phenotype', 'background', 'protein', 'sex', 'Acdp', 'genetic']"
69,17244351,2,0.990623414516449,"[('gene', 0.017), ('mouse', 0.012), ('joint', 0.01), ('cell', 0.008), ('reporter', 0.008), ('CLN2', 0.008), ('CIA', 0.008), ('protein', 0.007), ('BMP', 0.007), ('expression', 0.006)]","['gene', 'mouse', 'joint', 'cell', 'reporter', 'CLN2', 'CIA', 'protein', 'BMP', 'expression']"
70,17425782,8,0.9957733750343323,"[('mouse', 0.024), ('cell', 0.01), ('gene', 0.009), ('development', 0.009), ('role', 0.008), ('signaling', 0.007), ('RanBP2', 0.007), ('phenotype', 0.006), ('protein', 0.006), ('receptor', 0.006)]","['mouse', 'cell', 'gene', 'development', 'role', 'signaling', 'RanBP2', 'phenotype', 'protein', 'receptor']"
71,17447844,6,0.9944086670875549,"[('mouse', 0.025), ('gene', 0.016), ('cell', 0.012), ('chromosome', 0.011), ('phenotype', 0.009), ('background', 0.007), ('protein', 0.007), ('sex', 0.007), ('Acdp', 0.007), ('genetic', 0.006)]","['mouse', 'gene', 'cell', 'chromosome', 'phenotype', 'background', 'protein', 'sex', 'Acdp', 'genetic']"
72,17465682,8,0.9915860295295715,"[('mouse', 0.024), ('cell', 0.01), ('gene', 0.009), ('development', 0.009), ('role', 0.008), ('signaling', 0.007), ('RanBP2', 0.007), ('phenotype', 0.006), ('protein', 0.006), ('receptor', 0.006)]","['mouse', 'cell', 'gene', 'development', 'role', 'signaling', 'RanBP2', 'phenotype', 'protein', 'receptor']"
73,17503968,5,0.9943028688430786,"[('cell', 0.032), ('A7', 0.018), ('mouse', 0.017), ('Annexin', 0.011), ('differentiation', 0.009), ('protein', 0.008), ('annexin', 0.007), ('development', 0.007), ('apoptotic', 0.007), ('bone', 0.007)]","['cell', 'A7', 'mouse', 'Annexin', 'differentiation', 'protein', 'annexin', 'development', 'apoptotic', 'bone']"
74,17590087,1,0.9918897151947021,"[('mouse', 0.014), ('cell', 0.011), ('human', 0.01), ('role', 0.008), ('expression', 0.008), ('development', 0.008), ('factor', 0.007), ('gene', 0.007), ('muscle', 0.007), ('mutation', 0.007)]","['mouse', 'cell', 'human', 'role', 'expression', 'development', 'factor', 'gene', 'muscle', 'mutation']"
75,17677002,5,0.9915067553520203,"[('cell', 0.032), ('A7', 0.018), ('mouse', 0.017), ('Annexin', 0.011), ('differentiation', 0.009), ('protein', 0.008), ('annexin', 0.007), ('development', 0.007), ('apoptotic', 0.007), ('bone', 0.007)]","['cell', 'A7', 'mouse', 'Annexin', 'differentiation', 'protein', 'annexin', 'development', 'apoptotic', 'bone']"
